code1,code2,distance
ag,at,0.5205
ag,au,0.6424
ag,aw,0.6852
ag,ax,0.6288
ag,az,0.6219
ag,ba,0.6496
ag,bb,0.6048
ag,bd,0.6375
ag,be,0.5322
ag,bf,0.6498
ag,bg,0.7019
ag,bh,0.692
ag,bi,0.5866
ag,bj,0.6001
ag,bl,0.8047
ag,bm,0.4511
ag,bn,0.6905
ag,bo,0.604
ag,bq,0.7333
ag,br,0.6207
ag,bs,0.6088
ag,bt,0.6054
ag,bv,0.5352
ag,bw,0.6881
ag,by,0.5108
ag,bz,0.554
ag,ca,0.6679
ag,cc,0.676
ag,cd,0.6914
ag,cf,0.5898
ag,cg,0.5712
ag,ch,0.5894
ag,ci,0.6376
ag,ck,0.6221
ag,cl,0.6684
ag,cm,0.5719
ag,cn,0.6288
ag,co,0.5934
ag,cr,0.6287
ag,cu,0.5969
ag,cv,0.62
ag,cw,0.6226
ag,cx,0.6098
ag,cy,0.8602
ag,cz,0.7009
ag,de,0.5104
ag,dj,0.7286
ag,dk,0.4797
ag,dm,0.5843
ag,do,0.5143
ag,dz,0.7209
ag,ec,0.6218
ag,ee,0.6466
ag,eg,0.5881
ag,eh,0.5423
ag,er,0.5693
ag,es,0.5512
ag,et,0.4996
ag,fi,0.7649
ag,fj,0.6551
ag,fk,0.6237
ag,fm,0.7508
ag,fo,0.7585
ag,fr,0.524
ag,ga,0.6165
ag,gb-eng,0.787
ag,gb-nir,0.814
ag,gb-sct,0.7422
ag,gb-wls,0.7142
ag,gb,0.5621
ag,gd,0.4553
ag,ge,0.792
ag,gf,0.6121
ag,gg,0.7926
ag,gh,0.5556
ag,gi,0.7575
ag,gl,0.6587
ag,gm,0.4979
ag,gn,0.5211
ag,gp,0.5414
ag,gq,0.5664
ag,gr,0.6913
ag,gs,0.6059
ag,gt,0.7047
ag,gu,0.5978
ag,gw,0.5672
ag,gy,0.5693
ag,hk,0.5832
ag,hm,0.6644
ag,hn,0.7962
ag,hr,0.6545
ag,ht,0.427
ag,hu,0.624
ag,id,0.6988
ag,ie,0.6345
ag,il,0.7539
ag,im,0.4254
ag,in,0.6691
ag,io,0.5951
ag,iq,0.577
ag,ir,0.5888
ag,is,0.6279
ag,it,0.601
ag,je,0.7494
ag,jm,0.582
ag,jo,0.5045
ag,jp,0.8787
ag,ke,0.5213
ag,kg,0.6237
ag,kh,0.5263
ag,ki,0.5705
ag,km,0.6584
ag,kn,0.4537
ag,kp,0.5773
ag,kr,0.7984
ag,kw,0.4897
ag,ky,0.6192
ag,kz,0.7279
ag,la,0.472
ag,lb,0.5749
ag,lc,0.7969
ag,li,0.4395
ag,lk,0.5493
ag,lr,0.5819
ag,ls,0.6643
ag,lt,0.577
ag,lu,0.7113
ag,lv,0.5889
ag,ly,0.5901
ag,ma,0.581
ag,mc,0.6027
ag,md,0.5082
ag,me,0.5775
ag,mf,0.524
ag,mg,0.7201
ag,mh,0.6438
ag,mk,0.5707
ag,ml,0.5243
ag,mm,0.5748
ag,mn,0.5328
ag,mo,0.6376
ag,mp,0.6206
ag,mq,0.5653
ag,mr,0.5893
ag,ms,0.6197
ag,mt,0.6378
ag,mu,0.5954
ag,mv,0.4092
ag,mw,0.4406
ag,mx,0.5169
ag,my,0.5728
ag,mz,0.4981
ag,na,0.5511
ag,nc,0.5925
ag,ne,0.6738
ag,nf,0.6606
ag,ng,0.6689
ag,ni,0.7162
ag,nl,0.6282
ag,no,0.5352
ag,np,0.4825
ag,nr,0.6495
ag,nu,0.6816
ag,nz,0.6391
ag,om,0.6111
ag,pa,0.6977
ag,pe,0.4824
